"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0600000US2500750390","Oak Bluffs town, Dukes County, Massachusetts","82045","26322"
"0600000US2501717825","Dunstable town, Middlesex County, Massachusetts","131250","13582"
"0600000US2501730700","Holliston town, Middlesex County, Massachusetts","125625","13680"
"0600000US2501554030","Plainfield town, Hampshire County, Massachusetts","52750","8769"
"0600000US2501576380","Westhampton town, Hampshire County, Massachusetts","89545","9233"
"0600000US2500300975","Alford town, Berkshire County, Massachusetts","106406","11314"
"0600000US2500353960","Pittsfield city, Berkshire County, Massachusetts","48555","2096"
"0600000US2500321360","Egremont town, Berkshire County, Massachusetts","68125","7376"
"0600000US2500345420","New Marlborough town, Berkshire County, Massachusetts","76731","14174"
"0600000US2500356795","Richmond town, Berkshire County, Massachusetts","90714","22580"
"0600000US2500373335","Washington town, Berkshire County, Massachusetts","82500","20636"
"0600000US2500304545","Becket town, Berkshire County, Massachusetts","74659","10930"
"0600000US2501352144","Palmer Town city, Hampden County, Massachusetts","60333","8477"
"0600000US2501377890","West Springfield Town city, Hampden County, Massachusetts","51472","4166"
"0600000US2501773440","Watertown Town city, Middlesex County, Massachusetts","97929","6639"
"0600000US2502107740","Braintree Town city, Norfolk County, Massachusetts","94945","5125"
"0600000US2502125172","Franklin Town city, Norfolk County, Massachusetts","115355","6428"
"0600000US2502581005","Winthrop Town city, Suffolk County, Massachusetts","68322","4462"
"0600000US2502763345","Southbridge Town city, Worcester County, Massachusetts","50787","3286"
"0600000US2500901260","Amesbury Town city, Essex County, Massachusetts","80721","4536"
"0600000US2500940710","Methuen Town city, Essex County, Massachusetts","74912","4311"
"0600000US2501127100","Greenfield Town city, Franklin County, Massachusetts","48653","4273"
"0600000US2501300840","Agawam Town city, Hampden County, Massachusetts","67219","4646"
"0600000US2500103690","Barnstable Town city, Barnstable County, Massachusetts","68919","2495"
"0600000US2501724960","Framingham city, Middlesex County, Massachusetts","79136","4970"
"0600000US2500334970","Lenox town, Berkshire County, Massachusetts","72411","13529"
"0600000US2500353050","Peru town, Berkshire County, Massachusetts","70673","7139"
"0600000US2500359665","Sandisfield town, Berkshire County, Massachusetts","69135","15880"
"0600000US2500367595","Stockbridge town, Berkshire County, Massachusetts","48493","13354"
"0600000US2500326815","Great Barrington town, Berkshire County, Massachusetts","56622","16012"
"0600000US2500380685","Windsor town, Berkshire County, Massachusetts","83583","15193"
"0600000US2500500520","Acushnet town, Bristol County, Massachusetts","72125","5556"
"0600000US2500520100","Easton town, Bristol County, Massachusetts","109719","6446"
"0600000US2500525240","Freetown town, Bristol County, Massachusetts","86469","10055"
"0600000US2500516950","Dighton town, Bristol County, Massachusetts","93897","15620"
"0600000US2500538225","Mansfield town, Bristol County, Massachusetts","114720","7963"
"0600000US2500549970","Norton town, Bristol County, Massachusetts","108423","5037"
"0600000US2500562430","Somerset town, Bristol County, Massachusetts","76311","4479"
"0600000US2500545000","New Bedford city, Bristol County, Massachusetts","43989","1888"
"0600000US2500556060","Raynham town, Bristol County, Massachusetts","99554","15528"
"0600000US2500556375","Rehoboth town, Bristol County, Massachusetts","104052","10562"
"0600000US2500522130","Fairhaven town, Bristol County, Massachusetts","65763","4598"
"0600000US2501582175","Worthington town, Hampshire County, Massachusetts","75417","8752"
"0600000US2501501325","Amherst town, Hampshire County, Massachusetts","51878","4524"
"0600000US2501526290","Goshen town, Hampshire County, Massachusetts","80982","8439"
"0600000US2501513590","Chesterfield town, Hampshire County, Massachusetts","74010","6769"
"0600000US2501527690","Hadley town, Hampshire County, Massachusetts","64276","11982"
"0600000US2501552560","Pelham town, Hampshire County, Massachusetts","93958","9100"
"0600000US2501564145","South Hadley town, Hampshire County, Massachusetts","65898","6021"
"0600000US2501540990","Middlefield town, Hampshire County, Massachusetts","73438","17066"
"0600000US2501562745","Southampton town, Hampshire County, Massachusetts","93854","16622"
"0600000US2501516040","Cummington town, Hampshire County, Massachusetts","56964","7319"
"0600000US2501529265","Hatfield town, Hampshire County, Massachusetts","64619","4825"
"0600000US2501900000","County subdivisions not defined, Nantucket County, Massachusetts","-","**"
"0600000US2501943790","Nantucket town, Nantucket County, Massachusetts","105171","5612"
"0600000US2501762535","Somerville city, Middlesex County, Massachusetts","91168","5080"
"0600000US2501701955","Ashby town, Middlesex County, Massachusetts","101357","9196"
"0600000US2501707350","Boxborough town, Middlesex County, Massachusetts","108207","15005"
"0600000US2501737000","Lowell city, Middlesex County, Massachusetts","51987","2059"
"0600000US2501773790","Wayland town, Middlesex County, Massachusetts","174330","11150"
"0600000US2501705805","Billerica town, Middlesex County, Massachusetts","103129","3280"
"0600000US2501731540","Hudson town, Middlesex County, Massachusetts","87806","6449"
"0600000US2501739625","Maynard town, Middlesex County, Massachusetts","101324","7519"
"0600000US2501767665","Stoneham town, Middlesex County, Massachusetts","94835","5719"
"0600000US2501780230","Wilmington town, Middlesex County, Massachusetts","122813","8865"
"0600000US2501709840","Burlington town, Middlesex County, Massachusetts","105443","12567"
"0600000US2501721990","Everett city, Middlesex County, Massachusetts","60482","4984"
"0600000US2501735425","Lincoln town, Middlesex County, Massachusetts","122778","14404"
"0600000US2501771025","Tyngsborough town, Middlesex County, Massachusetts","109652","8976"
"0600000US2501772215","Wakefield town, Middlesex County, Massachusetts","95302","4173"
"0600000US2501781035","Woburn city, Middlesex County, Massachusetts","88745","4824"
"0600000US2501705070","Belmont town, Middlesex County, Massachusetts","120208","10992"
"0600000US2501777255","Weston town, Middlesex County, Massachusetts","181667","23620"
"0600000US2501769415","Tewksbury town, Middlesex County, Massachusetts","97584","3682"
"0600000US2501776135","Westford town, Middlesex County, Massachusetts","141173","7794"
"0600000US2501717475","Dracut town, Middlesex County, Massachusetts","88555","7283"
"0600000US2501727480","Groton town, Middlesex County, Massachusetts","126883","12248"
"0600000US2501735215","Lexington town, Middlesex County, Massachusetts","172750","10208"
"0600000US2501768050","Stow town, Middlesex County, Massachusetts","145967","18568"
"0600000US2501713135","Chelmsford town, Middlesex County, Massachusetts","109955","4457"
"0600000US2501739835","Medford city, Middlesex County, Massachusetts","92363","4261"
"0600000US2501761590","Shirley town, Middlesex County, Massachusetts","70542","4697"
"0600000US2501740115","Melrose city, Middlesex County, Massachusetts","103743","5757"
"0600000US2501748955","North Reading town, Middlesex County, Massachusetts","126818","10682"
"0600000US2501772600","Waltham city, Middlesex County, Massachusetts","85677","5912"
"0600000US2501700380","Acton town, Middlesex County, Massachusetts","137910","6063"
"0600000US2501701605","Arlington town, Middlesex County, Massachusetts","107085","3735"
"0600000US2501715060","Concord town, Middlesex County, Massachusetts","141293","7221"
"0600000US2501735950","Littleton town, Middlesex County, Massachusetts","120638","9237"
"0600000US2501743895","Natick town, Middlesex County, Massachusetts","109490","6161"
"0600000US2501780510","Winchester town, Middlesex County, Massachusetts","159536","7363"
"0600000US2501704615","Bedford town, Middlesex County, Massachusetts","129726","10296"
"0600000US2501731085","Hopkinton town, Middlesex County, Massachusetts","166156","12590"
"0600000US2501770360","Townsend town, Middlesex County, Massachusetts","85462","7489"
"0600000US2501737875","Malden city, Middlesex County, Massachusetts","64178","2401"
"0600000US2500330315","Hinsdale town, Berkshire County, Massachusetts","65820","5353"
"0600000US2500343300","Mount Washington town, Berkshire County, Massachusetts","72500","15492"
"0600000US2500324120","Florida town, Berkshire County, Massachusetts","65417","17372"
"0600000US2500328180","Hancock town, Berkshire County, Massachusetts","64583","18900"
"0600000US2500360225","Savoy town, Berkshire County, Massachusetts","60197","8104"
"0600000US2500379985","Williamstown town, Berkshire County, Massachusetts","82802","13315"
"0600000US2500342460","Monterey town, Berkshire County, Massachusetts","67500","21733"
"0600000US2500344385","New Ashford town, Berkshire County, Massachusetts","81875","18778"
"0600000US2500371095","Tyringham town, Berkshire County, Massachusetts","78750","14002"
"0600000US2500314010","Clarksburg town, Berkshire County, Massachusetts","64330","6098"
"0600000US2500334655","Lee town, Berkshire County, Massachusetts","71369","14237"
"0600000US2500346225","North Adams city, Berkshire County, Massachusetts","39411","2992"
"0600000US2500546575","North Attleborough town, Bristol County, Massachusetts","89485","5287"
"0600000US2500560645","Seekonk town, Bristol County, Massachusetts","89155","6081"
"0600000US2500569170","Taunton city, Bristol County, Massachusetts","62185","4419"
"0600000US2500577570","Westport town, Bristol County, Massachusetts","80015","7519"
"0600000US2500500000","County subdivisions not defined, Bristol County, Massachusetts","-","**"
"0600000US2500505280","Berkley town, Bristol County, Massachusetts","94516","15326"
"0600000US2500516425","Dartmouth town, Bristol County, Massachusetts","81641","5693"
"0600000US2500568750","Swansea town, Bristol County, Massachusetts","83010","6888"
"0600000US2501370045","Tolland town, Hampden County, Massachusetts","101563","27585"
"0600000US2500523000","Fall River city, Bristol County, Massachusetts","41585","2143"
"0600000US2500502690","Attleboro city, Bristol County, Massachusetts","74255","3732"
"0600000US2501330665","Holland town, Hampden County, Massachusetts","81680","5256"
"0600000US2501306085","Blandford town, Hampden County, Massachusetts","75250","12715"
"0600000US2501326675","Granville town, Hampden County, Massachusetts","82273","9090"
"0600000US2501342145","Monson town, Hampden County, Massachusetts","82427","7310"
"0600000US2501342530","Montgomery town, Hampden County, Massachusetts","83333","18084"
"0600000US2501365825","Southwick town, Hampden County, Massachusetts","77734","10203"
"0600000US2501372390","Wales town, Hampden County, Massachusetts","54103","8165"
"0600000US2501308470","Brimfield town, Hampden County, Massachusetts","84471","14677"
"0600000US2501319645","East Longmeadow town, Hampden County, Massachusetts","88442","2952"
"0600000US2501337175","Ludlow town, Hampden County, Massachusetts","72040","5869"
"0600000US2501379740","Wilbraham town, Hampden County, Massachusetts","107592","6953"
"0600000US2501330840","Holyoke city, Hampden County, Massachusetts","40656","2831"
"0600000US2501328075","Hampden town, Hampden County, Massachusetts","85943","6684"
"0600000US2501336300","Longmeadow town, Hampden County, Massachusetts","114271","8648"
"0600000US2501367000","Springfield city, Hampden County, Massachusetts","36730","1186"
"0600000US2501313485","Chester town, Hampden County, Massachusetts","73000","20226"
"0600000US2502300000","County subdivisions not defined, Plymouth County, Massachusetts","-","**"
"0600000US2502300170","Abington town, Plymouth County, Massachusetts","90873","9890"
"0600000US2502317895","Duxbury town, Plymouth County, Massachusetts","128333","11634"
"0600000US2502357600","Rochester town, Plymouth County, Massachusetts","103396","4677"
