Locality,,,Yes,No,Blanks,"Total Votes Cast"
"E. Brookfield",,,982,350,38,"1,370"
Fitchburg,,,"11,823","4,158",633,"16,614"
Gardner,,,"7,002","2,251",264,"9,517"
Grafton,,,"8,422","2,815",294,"11,531"
Hardwick,,,"1,162",336,36,"1,534"
Harvard,,,"3,248",781,128,"4,157"
Holden,,,"8,465","3,881",390,"12,736"
Hopedale,,,"2,784",914,103,"3,801"
Hubbardston,,,"2,180",694,69,"2,943"
Lancaster,,,"3,381",887,116,"4,384"
Leicester,,,"4,523","1,736",194,"6,453"
Leominster,,,"15,408","5,478",788,"21,674"
Lunenburg,,,"5,429","1,644",151,"7,224"
Mendon,,,"2,913",969,112,"3,994"
Milford,,,"10,234","3,882",560,"14,676"
Millbury,,,"5,980","1,958",275,"8,213"
Millville,,,"1,304",486,66,"1,856"
"New Braintree",,,510,138,28,676
"N. Brookfield",,,"1,968",670,93,"2,731"
Northborough,,,"7,380","2,071",295,"9,746"
Northbridge,,,"6,612","2,379",313,"9,304"
Oakham,,,832,374,56,"1,262"
Oxford,,,"5,474","1,869",264,"7,607"
Paxton,,,"1,999",900,76,"2,975"
Petersham,,,635,203,42,880
Phillipston,,,849,226,28,"1,103"
Princeton,,,"1,916",600,75,"2,591"
Royalston,,,620,145,22,787
Rutland,,,"3,852","1,709",141,"5,702"
Shrewsbury,,,"14,575","5,758",987,"21,320"
Southborough,,,"4,999","1,571",147,"6,717"
Southbridge,,,"5,014","1,954",341,"7,309"
Spencer,,,"4,520","1,763",184,"6,467"
Sterling,,,"4,143","1,200",147,"5,490"
Sturbridge,,,"4,340","1,631",122,"6,093"
Sutton,,,"4,649","1,499",204,"6,352"
Templeton,,,"3,535",885,93,"4,513"
Upton,,,"3,884","1,293",151,"5,328"
Uxbridge,,,"6,285","2,241",246,"8,772"
Warren,,,"1,841",647,140,"2,628"
Webster,,,"5,837","2,232",277,"8,346"
"W. Boylston",,,"3,596","1,097",153,"4,846"
"W. Brookfield",,,"1,694",565,74,"2,333"
Westborough,,,"7,647","2,674",377,"10,698"
Westminster,,,"3,935","1,292",106,"5,333"
Winchendon,,,"4,023","1,044",121,"5,188"
Worcester,,,"49,263","18,379","4,354","71,996"
TOTALS,,,"2,599,182","867,674","191,149","3,658,005"
