Locality,,,Yes,No,Blanks,"Total Votes Cast"
Barnstable,,,"9,468","17,783","1,433","28,684"
Bourne,,,"3,461","6,440","2,345","12,246"
Brewster,,,"2,847","4,281",366,"7,494"
Chatham,,,"1,677","3,137",308,"5,122"
Dennis,,,"3,092","6,718",564,"10,374"
Eastham,,,"1,599","2,338",180,"4,117"
Falmouth,,,"8,424","12,338","1,292","22,054"
Harwich,,,"3,192","5,874",451,"9,517"
Mashpee,,,"3,227","6,647",483,"10,357"
Orleans,,,"1,892","2,718",275,"4,885"
Provincetown,,,"1,369","1,081",170,"2,620"
Sandwich,,,"4,429","8,961",790,"14,180"
Truro,,,853,824,91,"1,768"
Wellfleet,,,"1,261","1,146",125,"2,532"
Yarmouth,,,"4,904","9,772",886,"15,562"
Adams,,,"1,765","2,534",169,"4,468"
Alford,,,181,138,11,330
Becket,,,467,622,109,"1,198"
Cheshire,,,675,"1,212",79,"1,966"
Clarksburg,,,360,586,56,"1,002"
Dalton,,,"1,622","1,972",238,"3,832"
Egremont,,,518,366,92,976
Florida,,,117,270,33,420
"Great Barrington",,,"2,076","1,713",338,"4,127"
Hancock,,,146,303,33,482
Hinsdale,,,459,673,84,"1,216"
Lanesborough,,,744,995,157,"1,896"
Lee,,,"1,463","1,850",193,"3,506"
Lenox,,,"1,559","1,591",232,"3,382"
Monterey,,,307,245,44,596
"Mount Washington",,,74,47,7,128
"New Ashford",,,66,75,14,155
"New Marlborough",,,407,468,91,966
"N. Adams",,,"2,632","2,978",376,"5,986"
Otis,,,366,594,57,"1,017"
Peru,,,193,305,37,535
Pittsfield,,,"9,150","11,295","1,581","22,026"
Richmond,,,555,440,69,"1,064"
Sandisfield,,,184,289,50,523
Savoy,,,132,237,58,427
Sheffield,,,878,"1,101",195,"2,174"
Stockbridge,,,691,538,141,"1,370"
Tyringham,,,139,161,17,317
Washington,,,150,190,13,353
"W. Stockbridge",,,505,397,73,975
Williamstown,,,"2,304","1,257",216,"3,777"
Windsor,,,256,300,25,581
Acushnet,,,"2,644","3,158",324,"6,126"
Attleboro,,,"8,760","14,073",858,"23,691"
Berkley,,,"2,023","1,868",252,"4,143"
Dartmouth,,,"6,183","10,879",917,"17,979"
Dighton,,,"1,330","3,005",408,"4,743"
Easton,,,"5,314","8,471",820,"14,605"
Fairhaven,,,"3,079","5,966",584,"9,629"
"Fall River",,,"10,710","17,985","3,505","32,200"
Freetown,,,"1,628","3,675",230,"5,533"
Mansfield,,,"5,676","8,213",748,"14,637"
"New Bedford",,,"13,274","18,688","3,123","35,085"
"N. Attleborough",,,"6,389","10,219",692,"17,300"
Norton,,,"3,895","6,493",639,"11,027"
Raynham,,,"2,586","5,556",717,"8,859"
Rehoboth,,,"2,517","4,990",437,"7,944"
Seekonk,,,"2,869","5,530",604,"9,003"
Somerset,,,"3,185","7,270",757,"11,212"
