Locality,,,Yes,No,Blanks,"Total Votes Cast"
Swansea,,,"2,894","6,428",748,"10,070"
Taunton,,,"8,786","15,444","2,722","26,952"
Westport,,,"3,283","6,757",586,"10,626"
Aquinnah,,,194,136,25,355
Chilmark,,,567,318,39,924
Edgartown,,,"1,379","1,569",178,"3,126"
Gosnold,,,36,45,1,82
"Oak Bluffs",,,"1,527","1,509",189,"3,225"
Tisbury,,,"1,430","1,210",218,"2,858"
"W. Tisbury",,,"1,340",857,106,"2,303"
Amesbury,,,"4,295","5,776",391,"10,462"
Andover,,,"9,659","11,408",834,"21,901"
Beverly,,,"11,066","12,706",932,"24,704"
Boxford,,,"2,120","3,292",170,"5,582"
Danvers,,,"5,886","10,567",609,"17,062"
Essex,,,"1,171","1,257",100,"2,528"
Georgetown,,,"2,664","2,466",485,"5,615"
Gloucester,,,"7,617","9,735",961,"18,313"
Groveland,,,"1,464","2,948",154,"4,566"
Hamilton,,,"2,238","2,566",224,"5,028"
Haverhill,,,"12,558","18,348","1,666","32,572"
Ipswich,,,"4,090","5,151",487,"9,728"
Lawrence,,,"10,266","9,603","3,498","23,367"
Lynn,,,"15,033","17,502","3,491","36,026"
Lynnfield,,,"2,528","5,449",423,"8,400"
Manchester-by-the-Sea,,,"1,724","1,947",170,"3,841"
Marblehead,,,"5,962","7,620",761,"14,343"
Merrimac,,,"1,485","2,617",319,"4,421"
Methuen,,,"8,911","15,663","1,522","26,096"
Middleton,,,"1,739","3,957",209,"5,905"
Nahant,,,935,"1,423",175,"2,533"
Newbury,,,"2,007","2,851",183,"5,041"
Newburyport,,,"5,766","6,547",584,"12,897"
"N. Andover",,,"6,717","10,631",774,"18,122"
Peabody,,,"9,349","19,121","1,791","30,261"
Rockport,,,"2,233","2,822",254,"5,309"
Rowley,,,"1,480","2,592",165,"4,237"
Salem,,,"12,016","10,850","1,273","24,139"
Salisbury,,,"1,710","3,621",265,"5,596"
Saugus,,,"4,877","9,633","1,392","15,902"
Swampscott,,,"4,374","4,768",528,"9,670"
Topsfield,,,"1,514","2,386",587,"4,487"
Wenham,,,"1,170","1,375",102,"2,647"
"W. Newbury",,,"1,391","1,804",103,"3,298"
Ashfield,,,705,471,54,"1,230"
Bernardston,,,593,678,114,"1,385"
Buckland,,,691,472,40,"1,203"
Charlemont,,,334,386,29,749
Colrain,,,503,473,36,"1,012"
Conway,,,767,495,46,"1,308"
Deerfield,,,"1,692","1,537",141,"3,370"
Erving,,,367,505,64,936
Gill,,,410,537,42,989
Greenfield,,,"5,009","4,048",650,"9,707"
Hawley,,,105,106,20,231
Heath,,,220,221,29,470
Leverett,,,992,340,58,"1,390"
Leyden,,,249,227,27,503
Monroe,,,21,35,4,60
Montague,,,"2,540","2,192",193,"4,925"
"New Salem",,,301,342,38,681
Northfield,,,872,882,115,"1,869"
Orange,,,"1,348","2,267",201,"3,816"
Rowe,,,94,156,19,269
Shelburne,,,776,282,184,"1,242"
Shutesbury,,,968,329,42,"1,339"
Sunderland,,,"1,223",780,58,"2,061"
Warwick,,,237,260,29,526
Wendell,,,416,174,26,616
Whately,,,578,504,34,"1,116"
Agawam,,,"4,533","10,913",816,"16,262"
Blandford,,,198,549,34,781
Brimfield,,,650,"1,585",114,"2,349"
Chester,,,241,477,31,749
Chicopee,,,"8,306","16,030","1,590","25,926"
"E. Longmeadow",,,"3,060","6,455",656,"10,171"
Granville,,,749,225,28,"1,002"
Hampden,,,882,"2,272",221,"3,375"
Holland,,,487,968,103,"1,558"
Holyoke,,,"6,784","8,011","1,688","16,483"
Longmeadow,,,"4,098","5,859",499,"10,456"
Ludlow,,,"3,244","7,525",684,"11,453"
Monson,,,"1,498","3,387",320,"5,205"
Montgomery,,,153,398,14,565
Palmer,,,"1,886","4,233",404,"6,523"
Russell,,,246,631,52,929
Southwick,,,"1,521","4,004",243,"5,768"
Springfield,,,"20,572","27,945","7,464","55,981"
Tolland,,,89,225,14,328
Wales,,,288,754,50,"1,092"
"W. Springfield",,,"4,227","8,396",978,"13,601"
Westfield,,,"6,370","13,249","1,165","20,784"
Wilbraham,,,"2,961","6,040",451,"9,452"
Amherst,,,"8,749","2,651",513,"11,913"
Belchertown,,,"3,977","5,174",540,"9,691"
Chesterfield,,,351,450,32,833
Cummington,,,289,286,21,596
Easthampton,,,"5,763","4,554",331,"10,648"
Goshen,,,287,361,25,673
Granby,,,"1,372","2,309",296,"3,977"
Hadley,,,"1,862","1,488",165,"3,515"
Hatfield,,,"1,100","1,131",92,"2,323"
Huntington,,,425,740,58,"1,223"
Middlefield,,,133,185,17,335
Northampton,,,"12,377","4,959",680,"18,016"
Pelham,,,656,237,37,930
Plainfield,,,249,181,16,446
"S. Hadley",,,"4,309","5,360",433,"10,102"
Southampton,,,"1,454","2,503",264,"4,221"
Ware,,,"1,400","3,327",253,"4,980"
Westhampton,,,536,618,45,"1,199"
Williamsburg,,,"1,130",649,56,"1,835"
Worthington,,,405,436,35,876
Acton,,,"8,169","5,452",397,"14,018"
Arlington,,,"17,724","9,978","1,057","28,759"
Ashby,,,691,"1,254",87,"2,032"
Ashland,,,"4,900","5,226",438,"10,564"
Ayer,,,"2,046","2,448",159,"4,653"
Bedford,,,"4,608","3,933",361,"8,902"
Belmont,,,"8,847","5,833",812,"15,492"
Billerica,,,"8,609","15,003","1,166","24,778"
Boxborough,,,"1,843","1,456",141,"3,440"
Burlington,,,"6,071","8,549",811,"15,431"
Cambridge,,,"40,117","11,500","3,422","55,039"
Carlisle,,,"2,095","1,415",160,"3,670"
Chelmsford,,,"9,148","12,390",948,"22,486"
Concord,,,"7,289","4,573",529,"12,391"
Dracut,,,"5,456","10,093","2,478","18,027"
Dunstable,,,796,"1,229",178,"2,203"
Everett,,,"6,565","6,852","1,476","14,893"
Framingham,,,"15,385","15,448","1,402","32,235"
Groton,,,"3,346","3,762",248,"7,356"
Holliston,,,"4,261","5,071",335,"9,667"
Hopkinton,,,"4,752","5,273",329,"10,354"
Hudson,,,"4,806","6,328",519,"11,653"
Lexington,,,"11,963","7,274",931,"20,168"
Lincoln,,,"2,668","1,431",201,"4,300"
Littleton,,,"3,165","3,327",230,"6,722"
Lowell,,,"18,307","17,777","2,898","38,982"
Malden,,,"11,652","9,597","4,508","25,757"
Marlborough,,,"8,024","10,271",998,"19,293"
Maynard,,,"3,598","2,966",239,"6,803"
Medford,,,"16,871","13,442","1,764","32,077"
Melrose,,,"8,507","8,806","1,025","18,338"
Natick,,,"10,745","10,166","1,031","21,942"
Newton,,,"30,415","17,445","2,711","50,571"
"N. Reading",,,"3,302","5,937",768,"10,007"
Pepperell,,,"2,582","4,546",224,"7,352"
Reading,,,"6,958","9,148","1,023","17,129"
Sherborn,,,"1,501","1,355",135,"2,991"
Shirley,,,"1,475","2,118",124,"3,717"
Somerville,,,"30,763","9,776","1,840","42,379"
Stoneham,,,"5,248","8,129","1,059","14,436"
Stow,,,"2,679","2,188",130,"4,997"
Sudbury,,,"6,270","5,796",421,"12,487"
Tewksbury,,,"6,178","12,420",645,"19,243"
Townsend,,,"1,658","3,623",214,"5,495"
Tyngsborough,,,"2,752","4,424",428,"7,604"
Wakefield,,,"6,193","9,350","1,166","16,709"
Waltham,,,"13,997","13,124","1,954","29,075"
Watertown,,,"11,104","7,259",955,"19,318"
Wayland,,,"4,962","4,008",420,"9,390"
Westford,,,"7,208","7,666",509,"15,383"
Weston,,,"3,542","3,215",383,"7,140"
Wilmington,,,"5,165","8,974",777,"14,916"
Winchester,,,"6,690","6,427",855,"13,972"
Woburn,,,"8,274","12,492","1,845","22,611"
Nantucket,,,"3,007","3,670",661,"7,338"
Avon,,,907,"1,588",228,"2,723"
Bellingham,,,"3,325","6,303",305,"9,933"
Braintree,,,"7,871","12,711","1,371","21,953"
Brookline,,,"20,703","8,751","1,851","31,305"
Canton,,,"5,534","8,045",992,"14,571"
Cohasset,,,"2,320","3,064",343,"5,727"
Dedham,,,"6,615","8,283","1,083","15,981"
Dover,,,"1,891","1,992",181,"4,064"
Foxborough,,,"4,044","6,747",634,"11,425"
Franklin,,,"7,818","12,033",701,"20,552"
Holbrook,,,"2,464","3,280",514,"6,258"
Medfield,,,"3,662","4,356",468,"8,486"
Medway,,,"3,183","4,906",386,"8,475"
Millis,,,"2,133","3,372",172,"5,677"
Milton,,,"7,664","9,091","1,029","17,784"
Needham,,,"10,524","8,778",961,"20,263"
Norfolk,,,"2,610","4,004",290,"6,904"
Norwood,,,"6,829","9,562","1,151","17,542"
Plainville,,,"2,059","3,560",258,"5,877"
Quincy,,,"20,238","22,436","3,515","46,189"
Randolph,,,"7,195","8,366","2,004","17,565"
Sharon,,,"5,887","4,851",957,"11,695"
Stoughton,,,"4,158","7,531","4,074","15,763"
Walpole,,,"5,787","9,738",770,"16,295"
Wellesley,,,"8,548","7,157",789,"16,494"
Westwood,,,"4,447","5,530",662,"10,639"
Weymouth,,,"11,896","19,771","1,378","33,045"
Wrentham,,,"2,810","4,791",256,"7,857"
Abington,,,"3,167","6,122",446,"9,735"
Bridgewater,,,"4,575","9,236",892,"14,703"
Brockton,,,"15,439","18,737","4,778","38,954"
Carver,,,"1,901","4,760",340,"7,001"
Duxbury,,,"3,873","7,021",405,"11,299"
"E. Bridgewater",,,"2,553","5,791",477,"8,821"
Halifax,,,"1,430","3,224",239,"4,893"
Hanover,,,"2,826","6,458",435,"9,719"
Hanson,,,"1,931","4,639",229,"6,799"
Hingham,,,"6,269","9,264",853,"16,386"
Hull,,,"2,647","4,102",386,"7,135"
Kingston,,,"2,614","5,619",336,"8,569"
Lakeville,,,"2,226","4,865",286,"7,377"
Marion,,,"1,359","2,105",253,"3,717"
Marshfield,,,"5,254","11,801",605,"17,660"
Mattapoisett,,,"1,632","2,900",209,"4,741"
Middleborough,,,"4,153","9,114",656,"13,923"
Norwell,,,"2,569","4,558",319,"7,446"
Pembroke,,,"3,581","7,755",482,"11,818"
Plymouth,,,"12,077","24,349","1,118","37,544"
Plympton,,,555,"1,298",81,"1,934"
Rochester,,,"1,136","2,563",159,"3,858"
Rockland,,,"3,114","6,426",502,"10,042"
Scituate,,,"4,936","8,147",582,"13,665"
Wareham,,,"3,975","8,093",719,"12,787"
"W. Bridgewater",,,"1,398","3,023",244,"4,665"
Whitman,,,"2,856","5,495",328,"8,679"
Boston,,,"167,163","102,772","25,362","295,297"
Chelsea,,,"4,862","3,961","1,824","10,647"
Revere,,,"8,065","9,656","3,274","20,995"
Winthrop,,,"3,830","5,717",754,"10,301"
Ashburnham,,,"1,386","2,285",166,"3,837"
Athol,,,"1,729","3,624",178,"5,531"
Auburn,,,"3,360","6,427",474,"10,261"
Barre,,,974,"2,105",88,"3,167"
Berlin,,,953,"1,235",87,"2,275"
Blackstone,,,"1,558","3,400",195,"5,153"
Bolton,,,"1,880","1,818",115,"3,813"
Boylston,,,"1,252","1,972",97,"3,321"
Brookfield,,,632,"1,328",102,"2,062"
Charlton,,,"2,455","5,446",268,"8,169"
Clinton,,,"2,938","4,561",361,"7,860"
Douglas,,,"1,678","3,702",207,"5,587"
Dudley,,,"1,826","4,052",237,"6,115"
"E. Brookfield",,,369,958,43,"1,370"
Fitchburg,,,"6,333","9,522",759,"16,614"
Gardner,,,"3,337","5,863",317,"9,517"
Grafton,,,"4,597","6,571",363,"11,531"
Hardwick,,,487,998,49,"1,534"
Harvard,,,"2,322","1,700",135,"4,157"
Holden,,,"4,642","7,596",498,"12,736"
Hopedale,,,"1,402","2,222",177,"3,801"
Hubbardston,,,935,"1,920",88,"2,943"
Lancaster,,,"1,706","2,572",106,"4,384"
Leicester,,,"1,981","4,277",195,"6,453"
Leominster,,,"7,687","13,055",932,"21,674"
Lunenburg,,,"2,823","4,213",188,"7,224"
Mendon,,,"1,433","2,455",106,"3,994"
Milford,,,"5,416","8,584",676,"14,676"
Millbury,,,"2,635","5,240",338,"8,213"
Millville,,,607,"1,161",88,"1,856"
"New Braintree",,,174,469,33,676
"N. Brookfield",,,782,"1,804",145,"2,731"
Northborough,,,"4,313","5,068",365,"9,746"
Northbridge,,,"2,906","5,960",438,"9,304"
Oakham,,,328,868,66,"1,262"
Oxford,,,"2,369","4,957",281,"7,607"
Paxton,,,981,"1,861",133,"2,975"
Petersham,,,338,498,44,880
Phillipston,,,334,731,38,"1,103"
Princeton,,,"1,103","1,412",76,"2,591"
Royalston,,,268,488,31,787
Rutland,,,"1,748","3,745",209,"5,702"
Shrewsbury,,,"8,803","11,619",898,"21,320"
Southborough,,,"3,431","3,061",225,"6,717"
Southbridge,,,"2,564","4,252",493,"7,309"
Spencer,,,"1,927","4,304",236,"6,467"
Sterling,,,"1,923","3,364",203,"5,490"
Sturbridge,,,"2,166","3,754",173,"6,093"
Sutton,,,"2,020","4,030",302,"6,352"
Templeton,,,"1,288","3,036",189,"4,513"
Upton,,,"2,068","3,068",192,"5,328"
Uxbridge,,,"2,674","5,724",374,"8,772"
Warren,,,753,"1,684",191,"2,628"
Webster,,,"2,596","5,369",381,"8,346"
"W. Boylston",,,"1,684","2,960",202,"4,846"
"W. Brookfield",,,662,"1,575",96,"2,333"
Westborough,,,"4,952","5,280",466,"10,698"
Westminster,,,"1,813","3,342",178,"5,333"
Winchendon,,,"1,611","3,420",157,"5,188"
Worcester,,,"31,745","33,958","6,293","71,996"
TOTALS,,,"1,549,919","1,877,447","230,639","3,658,005"
